,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,76200.0,100.0,+0.13%,100.0,4548974.0,5969783.0,55.87,9476830.0,35.76,4.15,
2,2.0,SK하이닉스,172800.0,1200.0,+0.70%,5000.0,1257988.0,728002.0,54.41,2395336.0,-13.81,-15.61,
3,3.0,LG에너지솔루션,372500.0,6000.0,-1.59%,500.0,871650.0,234000.0,4.85,63947.0,70.46,6.36,
4,4.0,삼성바이오로직스,791000.0,11000.0,-1.37%,2500.0,562986.0,71174.0,12.0,14636.0,65.64,9.12,
5,5.0,삼성전자우,64200.0,300.0,+0.47%,100.0,528293.0,822887.0,75.81,481956.0,30.13,,
9,6.0,현대차,249000.0,4000.0,+1.63%,5000.0,521446.0,209416.0,39.59,696129.0,5.71,13.68,
10,7.0,기아,115500.0,400.0,+0.35%,5000.0,464361.0,402044.0,40.18,869025.0,5.31,20.44,
11,8.0,셀트리온,179300.0,600.0,+0.34%,1000.0,390963.0,218050.0,23.4,144023.0,49.27,5.07,
12,9.0,POSCO홀딩스,395000.0,0.0,0.00%,5000.0,334056.0,84571.0,27.68,171200.0,19.67,3.18,
13,10.0,KB금융,72900.0,3400.0,+4.89%,5000.0,294160.0,403511.0,75.51,1220318.0,6.37,8.44,
17,11.0,NAVER,181100.0,200.0,+0.11%,100.0,294122.0,162409.0,45.27,240272.0,29.3,4.41,
18,12.0,삼성SDI,413000.0,8500.0,-2.02%,5000.0,283998.0,68765.0,42.01,165209.0,14.47,11.48,
19,13.0,삼성물산,149600.0,2200.0,+1.49%,100.0,277645.0,185592.0,24.96,135035.0,12.65,7.28,
20,14.0,LG화학,371500.0,6500.0,-1.72%,5000.0,262251.0,70592.0,38.95,134195.0,21.74,4.2,
21,15.0,신한지주,45000.0,700.0,+1.58%,5000.0,229227.0,509393.0,61.12,953845.0,5.36,8.36,
25,16.0,현대모비스,238500.0,500.0,-0.21%,5000.0,223367.0,93655.0,39.98,60840.0,6.56,8.73,
26,17.0,포스코퓨처엠,280000.0,3000.0,+1.08%,500.0,216897.0,77463.0,9.41,222900.0,754.72,1.19,
27,18.0,카카오,47850.0,1150.0,-2.35%,100.0,213049.0,445244.0,28.02,1114657.0,-21.02,-10.26,
28,19.0,하나금융지주,58700.0,1700.0,+2.98%,5000.0,171613.0,292357.0,70.34,664737.0,5.05,9.01,
29,20.0,삼성생명,85600.0,1400.0,+1.66%,500.0,171200.0,200000.0,19.42,231674.0,9.03,4.95,
33,21.0,메리츠금융지주,79600.0,200.0,+0.25%,500.0,154958.0,194671.0,17.38,109655.0,7.6,28.11,
34,22.0,LG전자,92500.0,500.0,+0.54%,5000.0,151374.0,163648.0,30.02,161497.0,23.47,3.69,
35,23.0,삼성화재,304000.0,3500.0,+1.16%,500.0,144020.0,47375.0,53.79,69067.0,8.45,12.73,
36,24.0,한국전력,21250.0,350.0,+1.67%,5000.0,136417.0,641964.0,15.37,680333.0,-2.83,-12.63,
37,25.0,한미반도체,130800.0,3700.0,+2.91%,100.0,127320.0,97339.0,13.48,1501139.0,47.65,55.54,
41,26.0,LG,79400.0,400.0,+0.51%,5000.0,124897.0,157301.0,35.3,70019.0,10.09,4.89,
42,27.0,SK,162600.0,500.0,+0.31%,200.0,119020.0,73198.0,24.94,30802.0,-15.49,-3.67,
43,28.0,삼성에스디에스,153400.0,2500.0,+1.66%,500.0,118698.0,77378.0,18.77,51332.0,17.12,8.22,
44,29.0,카카오뱅크,24650.0,50.0,-0.20%,5000.0,117561.0,476921.0,16.82,187403.0,33.13,6.0,
45,30.0,KT&G,89800.0,1100.0,-1.21%,5000.0,117030.0,130322.0,44.56,50385.0,13.58,9.76,
49,31.0,한화에어로스페이스,229500.0,9500.0,+4.32%,5000.0,116196.0,50630.0,35.65,478894.0,14.21,25.6,
50,32.0,크래프톤,238000.0,21000.0,-8.11%,100.0,115107.0,48364.0,35.12,358934.0,19.47,11.16,
51,33.0,HD현대중공업,128700.0,6100.0,+4.98%,5000.0,114251.0,88773.0,8.07,270850.0,462.95,0.47,
52,34.0,SK스퀘어,81800.0,2100.0,+2.63%,100.0,110225.0,134750.0,51.73,246279.0,-8.95,-8.04,
53,35.0,기업은행,13790.0,150.0,+1.10%,5000.0,109965.0,797426.0,15.34,782851.0,4.12,8.79,
57,36.0,SK텔레콤,51000.0,0.0,0.00%,100.0,109543.0,214790.0,42.17,142145.0,10.21,9.63,
58,37.0,삼성전기,143000.0,1900.0,-1.31%,5000.0,106812.0,74694.0,31.51,187163.0,26.24,5.5,
59,38.0,우리금융지주,14360.0,210.0,+1.48%,5000.0,106636.0,742592.0,42.0,978104.0,4.24,8.3,
60,39.0,한화오션,34750.0,2550.0,+7.92%,5000.0,106460.0,306359.0,16.57,5470458.0,45.9,6.33,
61,40.0,SK이노베이션,109100.0,1500.0,-1.36%,5000.0,104448.0,95736.0,22.72,114163.0,41.58,1.22,
65,41.0,HMM,14960.0,1160.0,-7.20%,5000.0,103080.0,689039.0,10.5,2311179.0,8.18,4.59,
66,42.0,두산에너빌리티,15460.0,270.0,-1.72%,5000.0,99031.0,640561.0,18.03,1298348.0,177.7,0.78,
67,43.0,고려아연,467000.0,4000.0,-0.85%,5000.0,97643.0,20909.0,18.1,15088.0,17.87,5.72,
68,44.0,HD한국조선해양,126400.0,7100.0,+5.95%,5000.0,89457.0,70773.0,26.82,437560.0,40.34,2.26,
69,45.0,KT,34550.0,250.0,+0.73%,5000.0,88850.0,257165.0,45.51,256202.0,8.89,6.05,
73,46.0,S-Oil,76900.0,800.0,+1.05%,2500.0,86576.0,112583.0,79.07,47797.0,9.45,10.83,
74,47.0,하이브,206500.0,6000.0,-2.82%,500.0,86012.0,41652.0,20.97,658188.0,45.85,6.58,
75,48.0,삼성중공업,9690.0,210.0,+2.22%,1000.0,85272.0,880000.0,25.29,14401880.0,-57.68,-4.22,
76,49.0,아모레퍼시픽,140200.0,1500.0,-1.06%,500.0,82007.0,58493.0,27.78,92241.0,53.76,3.72,
77,50.0,KODEX CD금리액티브(합성),1033640.0,100.0,+0.01%,0.0,80847.0,7822.0,0.01,307673.0,,,
